student_name,email,phone,q1,q2,q3,q4,q5,q6,q7,q8,q9,q10
Student1,student1@example.com,98765430001,3,2,2,1,4,1,1,4,2,1
Student2,student2@example.com,98765430002,4,1,2,3,2,2,1,2,2,2
Student3,student3@example.com,98765430003,2,3,1,4,4,2,4,4,3,4
Student4,student4@example.com,98765430004,3,2,4,3,4,3,1,1,3,4
Student5,student5@example.com,98765430005,3,3,4,4,4,1,2,2,1,2
Student6,student6@example.com,98765430006,4,3,1,1,1,4,2,4,1,4
Student7,student7@example.com,98765430007,2,1,1,2,4,4,1,2,1,4
Student8,student8@example.com,98765430008,2,3,4,3,4,1,2,4,1,1
Student9,student9@example.com,98765430009,4,1,4,3,2,1,1,4,3,4
Student10,student10@example.com,98765430010,1,2,1,3,2,3,4,3,2,3
Student11,student11@example.com,98765430011,4,1,1,3,3,2,3,4,1,4
Student12,student12@example.com,98765430012,1,3,2,4,4,1,1,1,4,2
Student13,student13@example.com,98765430013,3,2,2,3,4,1,4,2,4,3
Student14,student14@example.com,98765430014,4,3,1,1,1,2,4,2,1,3
Student15,student15@example.com,98765430015,1,4,1,2,3,2,3,2,4,3
Student16,student16@example.com,98765430016,1,2,3,3,4,3,3,2,3,2
Student17,student17@example.com,98765430017,1,3,2,1,1,3,4,2,3,1
Student18,student18@example.com,98765430018,2,2,4,4,2,1,2,3,1,1
Student19,student19@example.com,98765430019,3,4,1,2,2,1,1,1,3,4
Student20,student20@example.com,98765430020,3,4,3,4,3,2,4,4,3,2
Student21,student21@example.com,98765430021,1,4,1,2,3,3,3,4,2,2
Student22,student22@example.com,98765430022,1,1,4,2,3,3,2,3,3,4
Student23,student23@example.com,98765430023,3,1,2,3,4,3,4,3,3,4
Student24,student24@example.com,98765430024,3,2,1,4,1,3,1,4,4,2
Student25,student25@example.com,98765430025,4,4,1,3,1,1,3,2,2,4
Student26,student26@example.com,98765430026,1,3,4,2,4,2,2,3,2,3
Student27,student27@example.com,98765430027,3,1,2,1,3,4,2,1,4,2
Student28,student28@example.com,98765430028,3,1,3,3,4,2,2,4,3,2
Student29,student29@example.com,98765430029,4,4,2,1,2,3,1,3,3,2
Student30,student30@example.com,98765430030,2,2,3,3,2,1,1,3,1,2
Student31,student31@example.com,98765430031,3,2,3,4,4,2,2,1,3,1
Student32,student32@example.com,98765430032,1,3,4,3,3,1,1,3,2,3
Student33,student33@example.com,98765430033,1,2,4,4,1,2,3,3,3,4
Student34,student34@example.com,98765430034,2,4,3,3,2,3,2,4,1,4
Student35,student35@example.com,98765430035,3,3,4,4,1,4,1,3,3,3
Student36,student36@example.com,98765430036,3,3,1,1,2,2,1,2,1,4
Student37,student37@example.com,98765430037,2,3,1,4,3,1,4,3,1,2
Student38,student38@example.com,98765430038,2,4,1,3,3,3,3,1,4,1
Student39,student39@example.com,98765430039,2,4,2,3,1,1,1,4,3,2
Student40,student40@example.com,98765430040,4,1,3,1,3,2,3,1,3,3
Student41,student41@example.com,98765430041,1,1,2,1,3,1,3,1,3,1
Student42,student42@example.com,98765430042,1,4,2,2,2,2,3,3,4,1
Student43,student43@example.com,98765430043,3,1,2,2,1,4,2,1,4,3
Student44,student44@example.com,98765430044,1,3,1,1,3,4,2,1,4,2
Student45,student45@example.com,98765430045,4,4,4,2,4,3,1,4,1,4
Student46,student46@example.com,98765430046,4,4,3,3,2,4,3,3,2,2
Student47,student47@example.com,98765430047,1,3,1,1,3,2,2,2,3,2
Student48,student48@example.com,98765430048,3,4,3,2,1,1,4,3,4,2
Student49,student49@example.com,98765430049,1,2,1,1,4,1,3,4,2,2
Student50,student50@example.com,98765430050,1,3,2,2,3,1,1,4,4,2
Student51,student51@example.com,98765430051,1,1,1,3,1,3,4,2,1,3
Student52,student52@example.com,98765430052,4,1,3,2,4,4,2,1,1,4
Student53,student53@example.com,98765430053,2,2,2,1,3,1,2,2,4,2
Student54,student54@example.com,98765430054,2,4,3,3,4,3,1,2,4,2
Student55,student55@example.com,98765430055,1,2,2,2,3,1,4,2,2,4
Student56,student56@example.com,98765430056,1,4,4,1,3,3,2,4,2,4
Student57,student57@example.com,98765430057,4,2,1,2,3,3,4,3,2,2
Student58,student58@example.com,98765430058,3,3,3,1,2,4,1,3,1,3
Student59,student59@example.com,98765430059,1,3,1,2,2,2,1,2,3,4
Student60,student60@example.com,98765430060,3,2,4,2,3,1,1,3,3,2
Student61,student61@example.com,98765430061,3,3,4,3,1,4,2,4,2,4
Student62,student62@example.com,98765430062,3,3,2,2,1,4,1,4,3,2
Student63,student63@example.com,98765430063,2,1,4,3,2,2,2,4,3,1
Student64,student64@example.com,98765430064,1,2,1,1,2,3,2,3,4,1
Student65,student65@example.com,98765430065,1,3,1,1,4,2,1,4,2,1
Student66,student66@example.com,98765430066,4,2,3,4,3,2,3,1,2,3
Student67,student67@example.com,98765430067,4,3,2,4,4,3,3,2,1,2
Student68,student68@example.com,98765430068,1,2,2,3,2,1,2,1,3,3
Student69,student69@example.com,98765430069,3,2,2,1,3,2,3,4,4,4
