Name,Email,Phone,Username,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Score,Result,Timestamp
Student1,student1@example.com,9000000001,user1,0,2,1,1,1,2,2,1,2,0,12,Stage 2: Mild Use,2025-03-22 06:00:11
Student2,student2@example.com,9000000002,user2,1,2,0,1,2,0,3,0,1,3,13,Stage 2: Mild Use,2025-01-12 06:00:11
Student3,student3@example.com,9000000003,user3,3,1,2,2,3,0,2,0,2,3,18,Stage 3: Moderate Use,2024-06-13 06:00:11
Student4,student4@example.com,9000000004,user4,3,3,0,0,3,1,1,3,0,3,17,Stage 2: Mild Use,2025-03-18 06:00:11
Student5,student5@example.com,9000000005,user5,2,3,3,2,3,0,0,1,1,1,16,Stage 2: Mild Use,2025-03-08 06:00:11
Student6,student6@example.com,9000000006,user6,2,1,1,2,1,3,0,3,2,1,16,Stage 2: Mild Use,2024-04-21 06:00:11
Student7,student7@example.com,9000000007,user7,2,0,3,0,0,0,1,0,1,3,10,Stage 1: Minimal Use,2024-08-31 06:00:11
Student8,student8@example.com,9000000008,user8,1,2,3,1,0,1,3,1,1,0,13,Stage 2: Mild Use,2025-03-18 06:00:11
Student9,student9@example.com,9000000009,user9,1,1,2,3,1,3,2,2,3,3,21,Stage 3: Moderate Use,2024-09-03 06:00:11
Student10,student10@example.com,9000000010,user10,2,1,0,0,1,1,0,3,1,3,12,Stage 2: Mild Use,2024-06-01 06:00:11
Student11,student11@example.com,9000000011,user11,2,0,0,1,2,1,3,3,3,1,16,Stage 2: Mild Use,2024-06-15 06:00:11
Student12,student12@example.com,9000000012,user12,0,3,2,2,0,2,0,3,1,2,15,Stage 2: Mild Use,2025-02-16 06:00:11
Student13,student13@example.com,9000000013,user13,0,2,1,3,2,2,2,2,3,0,17,Stage 2: Mild Use,2024-08-18 06:00:11
Student14,student14@example.com,9000000014,user14,3,2,0,2,2,3,0,3,0,1,16,Stage 2: Mild Use,2025-03-17 06:00:11
Student15,student15@example.com,9000000015,user15,2,0,1,1,3,1,1,3,0,2,14,Stage 2: Mild Use,2024-06-18 06:00:11
Student16,student16@example.com,9000000016,user16,1,2,0,0,2,1,2,1,2,0,11,Stage 2: Mild Use,2024-12-21 06:00:11
Student17,student17@example.com,9000000017,user17,0,2,2,1,1,0,2,3,3,0,14,Stage 2: Mild Use,2025-01-31 06:00:11
Student18,student18@example.com,9000000018,user18,1,1,0,0,1,0,1,2,2,2,10,Stage 1: Minimal Use,2024-11-20 06:00:11
Student19,student19@example.com,9000000019,user19,1,3,0,2,3,3,3,3,3,0,21,Stage 3: Moderate Use,2024-11-26 06:00:11
Student20,student20@example.com,9000000020,user20,0,3,0,2,3,3,3,1,1,1,17,Stage 2: Mild Use,2024-09-30 06:00:11
Student21,student21@example.com,9000000021,user21,0,0,3,0,1,0,0,1,1,2,8,Stage 1: Minimal Use,2025-01-20 06:00:11
Student22,student22@example.com,9000000022,user22,3,2,1,3,1,2,3,3,2,1,21,Stage 3: Moderate Use,2025-03-08 06:00:11
Student23,student23@example.com,9000000023,user23,1,1,1,2,0,3,3,2,0,1,14,Stage 2: Mild Use,2025-03-03 06:00:11
