Name,Email,Phone,,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,,,
Student1,student1@example.com,9000000001,,0,2,1,1,1,2,2,1,2,0,,,
Student2,student2@example.com,9000000002,,1,2,0,1,2,0,3,0,1,3,,,
Student3,student3@example.com,9000000003,,3,1,2,2,3,0,2,0,2,3,,,
Student4,student4@example.com,9000000004,,3,3,0,0,3,1,1,3,0,3,,,
Student5,student5@example.com,9000000005,,2,3,3,2,3,0,0,1,1,1,,,
Student6,student6@example.com,9000000006,,2,1,1,2,1,3,0,3,2,1,,,
Student7,student7@example.com,9000000007,,2,0,3,0,0,0,1,0,1,3,,,
Student8,student8@example.com,9000000008,,1,2,3,1,0,1,3,1,1,0,,,
Student9,student9@example.com,9000000009,,1,1,2,3,1,3,2,2,3,3,,,
Student10,student10@example.com,9000000010,,2,1,0,0,1,1,0,3,1,3,,,
Student11,student11@example.com,9000000011,,2,0,0,1,2,1,3,3,3,1,,,
Student12,student12@example.com,9000000012,,0,3,2,2,0,2,0,3,1,2,,,
Student13,student13@example.com,9000000013,,0,2,1,3,2,2,2,2,3,0,,,
Student14,student14@example.com,9000000014,,3,2,0,2,2,3,0,3,0,1,,,
Student15,student15@example.com,9000000015,,2,0,1,1,3,1,1,3,0,2,,,
Student16,student16@example.com,9000000016,,1,2,0,0,2,1,2,1,2,0,,,
Student17,student17@example.com,9000000017,,0,2,2,1,1,0,2,3,3,0,,,
Student18,student18@example.com,9000000018,,1,1,0,0,1,0,1,2,2,2,,,
Student19,student19@example.com,9000000019,,1,3,0,2,3,3,3,3,3,0,,,
Student20,student20@example.com,9000000020,,0,3,0,2,3,3,3,1,1,1,,,
Student21,student21@example.com,9000000021,,0,0,3,0,1,0,0,1,1,2,,,
Student22,student22@example.com,9000000022,,3,2,1,3,1,2,3,3,2,1,,,
Student23,student23@example.com,9000000023,,1,1,1,2,0,3,3,2,0,1,,,
Student24,student24@example.com,9000000024,,1,3,1,0,3,1,1,3,1,3,,,
Student25,student25@example.com,9000000025,,1,2,0,2,0,1,1,3,3,2,,,
Student26,student26@example.com,9000000026,,2,1,3,0,3,3,1,2,0,2,,,
Student27,student27@example.com,9000000027,,1,3,0,2,0,1,2,2,1,2,,,
Student28,student28@example.com,9000000028,,1,3,2,1,2,0,0,3,2,2,,,
Student29,student29@example.com,9000000029,,0,2,0,3,2,1,1,0,1,2,,,
Student30,student30@example.com,9000000030,,2,2,1,2,3,0,0,1,2,2,,,
Student31,student31@example.com,9000000031,,2,1,2,3,3,0,1,2,1,1,,,
Student32,student32@example.com,9000000032,,0,2,0,3,1,1,3,3,1,2,,,
Student33,student33@example.com,9000000033,,1,3,1,3,2,3,1,1,3,0,,,
Student34,student34@example.com,9000000034,,2,3,3,3,1,0,0,3,2,3,,,
Student35,student35@example.com,9000000035,,1,0,2,3,3,0,3,0,0,0,,,
Student36,student36@example.com,9000000036,,2,0,0,0,3,1,2,1,3,0,,,
Student37,student37@example.com,9000000037,,3,2,2,0,2,3,0,1,0,1,,,
Student38,student38@example.com,9000000038,,1,0,1,2,0,3,3,2,0,2,,,
Student39,student39@example.com,9000000039,,0,0,3,3,1,3,3,1,3,0,,,
Student40,student40@example.com,9000000040,,3,1,2,3,2,2,0,3,1,3,,,
Student41,student41@example.com,9000000041,,1,0,0,0,0,2,0,3,3,3,,,
Student42,student42@example.com,9000000042,,2,1,1,0,3,1,1,1,2,1,,,
Student43,student43@example.com,9000000043,,1,0,2,0,1,2,2,2,1,2,,,
Student44,student44@example.com,9000000044,,0,2,3,3,0,1,1,2,0,2,,,
Student45,student45@example.com,9000000045,,1,0,1,3,0,0,3,1,0,0,,,
Student46,student46@example.com,9000000046,,3,0,2,0,3,1,0,1,1,1,,,
Student47,student47@example.com,9000000047,,0,0,1,1,3,3,2,3,1,2,,,
Student48,student48@example.com,9000000048,,1,0,2,2,3,1,3,0,1,0,,,
Student49,student49@example.com,9000000049,,2,0,1,3,2,0,3,3,3,3,,,
Student50,student50@example.com,9000000050,,3,2,2,3,3,3,0,3,3,2,,,
Student51,student51@example.com,9000000051,,3,1,3,1,0,0,0,1,1,2,,,
Student52,student52@example.com,9000000052,,1,1,2,2,2,2,3,2,2,0,,,
Student53,student53@example.com,9000000053,,3,0,3,3,1,2,1,0,2,2,,,
Student54,student54@example.com,9000000054,,3,0,0,1,1,1,2,1,2,2,,,
Student55,student55@example.com,9000000055,,2,2,1,3,3,3,0,2,1,2,,,
Student56,student56@example.com,9000000056,,3,1,2,0,3,2,3,1,2,3,,,
Student57,student57@example.com,9000000057,,1,0,0,1,0,1,2,0,1,0,,,
Student58,student58@example.com,9000000058,,3,0,0,3,0,1,2,1,0,3,,,
Student59,student59@example.com,9000000059,,0,1,3,1,3,1,0,3,3,1,,,
Student60,student60@example.com,9000000060,,1,1,2,0,1,0,2,3,2,2,,,
